143746349,Java开发工程师（大数据方向）,1.5-2万,上海,3-4年经验,本科,上海橙域网络科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/shanghai/143746349.html?s=sou_sou_soulb&t=0_0
143738221,自动化大数据分析师,8千-1.2万,北京-丰台区,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/beijing-ftq/143738221.html?s=sou_sou_soulb&t=0_0
143712323,大数据工程师（售中）,5-7千,无锡-滨湖区,3-4年经验,本科,南京拾柴信息科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/wuxi-bhq/143712323.html?s=sou_sou_soulb&t=0_0
143358583,大数据开发工程师,1.5-2.5万,苏州-工业园区,5-7年经验,本科,上海天好信息技术股份有限公司,2022-11-06 04:00:56,https://jobs.51job.com/suzhou-gyyq/143358583.html?s=sou_sou_soulb&t=0_0
139332438,大数据运维工程师,8千-1万·13薪,重庆,3-4年经验,本科,中国电信股份有限公司重庆分公司,2022-11-06 04:01:28,https://jobs.51job.com/chongqing/139332438.html?s=sou_sou_soulb&t=0_0
143737617,材料工程大数据分析师,8千-1.2万,济南,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/jinan/143737617.html?s=sou_sou_soulb&t=0_0
141979420,校招大数据平台工程师,2-3万·16薪,北京-西城区,无需经验,本科,因诺（上海）资产管理有限公司,2022-11-06 04:00:56,https://jobs.51job.com/beijing-xcq/141979420.html?s=sou_sou_soulb&t=0_0
143468006,中级大数据开发工程师,1.8-2.4万,上海-虹口区,3-4年经验,本科,上海伍贤信息技术股份有限公司,2022-11-06 04:00:56,https://jobs.51job.com/shanghai-hkq/143468006.html?s=sou_sou_soulb&t=0_0
143711586,大数据工程师（售前）,7-8千,无锡-滨湖区,3-4年经验,本科,南京拾柴信息科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/wuxi-bhq/143711586.html?s=sou_sou_soulb&t=0_0
143738373,自动化大数据分析师,8千-1.2万,长春,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/changchun/143738373.html?s=sou_sou_soulb&t=0_0
143748119,大数据架构师,5-8万,北京-海淀区,8-9年经验,本科,北京知帆科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/beijing-hdq/143748119.html?s=sou_sou_soulb&t=0_0
143710269,智能工厂大数据中心负责人,4.5-6千,舟山,1年经验,本科,浙江清华长三角研究院,2022-11-06 04:00:56,https://jobs.51job.com/zhoushan/143710269.html?s=sou_sou_soulb&t=0_0
129904482,大数据平台研发工程师(J10199),20-30万/年,深圳-龙岗区,3-4年经验,本科,富德保险控股股份有限公司,2022-11-06 04:00:30,https://jobs.51job.com/shenzhen-lgq/129904482.html?s=sou_sou_soulb&t=0_0
143738088,机械设计大数据分析师,8千-1.2万,西安,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/xian/143738088.html?s=sou_sou_soulb&t=0_0
143756048,大数据开发工程师,1-2万,台州,3-4年经验,本科,浙江畅云信息科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/taizhoue/143756048.html?s=sou_sou_soulb&t=0_0
143369132,大数据开发工程师,2-3万,上海-浦东新区,5-7年经验,本科,丰盛信息科技（上海）有限公司,2022-11-06 04:00:56,https://jobs.51job.com/shanghai-pdxq/143369132.html?s=sou_sou_soulb&t=0_0
137084893,大数据开发工程师,1.5千以下,北京-丰台区,无需经验,本科,宁夏宸宇控股集团有限公司,2022-11-04 17:40:36,https://jobs.51job.com/beijing-ftq/137084893.html?s=sou_sou_soulb&t=0_0
143738468,金融大数据分析师,8千-1.2万,烟台,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/yantai/143738468.html?s=sou_sou_soulb&t=0_0
139156303,BIG DATA - System Integrator,2.5-3万,上海-长宁区,5-7年经验,本科,Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司,2022-11-06 07:00:09,https://jobs.51job.com/shanghai-cnq/139156303.html?s=sou_sou_soulb&t=0_0
137582327,Big Data and AI Expert,2-2.5万,广州,5-7年经验,本科,捷普集团-捷普电子（广州）有限公司 Jabil Circuit (Guangzhou) Limited,2022-11-03 09:52:13,https://jobs.51job.com/guangzhou/137582327.html?s=sou_sou_soulb&t=0_0
141396481,大数据研发工程师,1.8-3万·15薪,苏州-高新区,3-4年经验,本科,阿特斯光伏科技（苏州）有限公司,2022-11-06 19:05:24,https://jobs.51job.com/suzhou-gxq/141396481.html?s=sou_sou_soulb&t=0_0
143738042,机械设计大数据分析师,8千-1.2万,北京-朝阳区,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/beijing-cyq/143738042.html?s=sou_sou_soulb&t=0_0
124745323,大数据开发工程师,8千-1.5万,福州,3-4年经验,大专,福建星汉信息科技有限公司,2022-11-06 19:15:35,https://jobs.51job.com/fuzhou/124745323.html?s=sou_sou_soulb&t=0_0
141749492,大数据顾问/年底双薪/朝九晚七不加班底薪4200起,5千-1万·13薪,武汉-洪山区,1年经验,大专,招商信诺人寿保险有限公司,2022-11-06 22:11:59,https://jobs.51job.com/wuhan-hsq/141749492.html?s=sou_sou_soulb&t=0_0
140356763,员工报销大数据分析Sr. Travel&Expense Data Analyst,1-1.2万·13薪,上海-徐汇区,5-7年经验,本科,罗克韦尔自动化制造（上海）有限公司,2022-11-06 17:00:04,https://jobs.51job.com/shanghai-xhq/140356763.html?s=sou_sou_soulb&t=0_0
143739296,土木建筑大数据分析师,8千-1.2万,北京-大兴区,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/beijing-dxq/143739296.html?s=sou_sou_soulb&t=0_0
141101481,大数据运维开发工程师（Kafka集群）_CI,3-5万,上海,,无需经验,博世（中国）投资有限公司,2022-11-06 16:00:07,http://boschchina.51job.com/jobdetail.html?jobid=141101481
141127705,大数据开发双休,7-9千,青岛-市北区,无需经验,高中,青岛资博互动信息技术有限公司,2022-11-06 15:25:36,https://jobs.51job.com/qingdao-sbq/141127705.html?s=sou_sou_soulb&t=0_0
124745323,大数据开发工程师,8千-1.5万,福州,3-4年经验,大专,福建星汉信息科技有限公司,2022-11-06 19:15:35,https://jobs.51job.com/fuzhou/124745323.html?s=sou_sou_soulb&t=0_0
143727332,大数据分析师管培生,8千-1.2万,长春-朝阳区,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/changchun-cyq/143727332.html?s=sou_sou_soulb&t=0_0
142808178,大数据分析实习生,4.5-6.8千,武汉-武昌区,无需经验,大专,武汉博石创新科技有限公司,2022-11-06 18:51:36,https://jobs.51job.com/wuhan-wcq/142808178.html?s=sou_sou_soulb&t=0_0
141044462,ETL开发（可实习）     ETL大数据开发工程师,7-9千,青岛-市北区,无需经验,高中,青岛资博互动信息技术有限公司,2022-11-06 15:25:36,https://jobs.51job.com/qingdao-sbq/141044462.html?s=sou_sou_soulb&t=0_0
141749492,大数据顾问/年底双薪/朝九晚七不加班底薪4200起,5千-1万·13薪,武汉-洪山区,1年经验,大专,招商信诺人寿保险有限公司,2022-11-06 22:11:59,https://jobs.51job.com/wuhan-hsq/141749492.html?s=sou_sou_soulb&t=0_0
143746987,电气工程大数据分析师,8千-1.2万,天津-滨海新区,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/tianjin-bhxq/143746987.html?s=sou_sou_soulb&t=0_0
143687528,高级大数据开发工程师,1.5-2万,南宁-青秀区,5-7年经验,本科,广州健新科技有限责任公司,2022-11-06 15:00:01,https://jobs.51job.com/nanning-qxq/143687528.html?s=sou_sou_soulb&t=0_0
139040348,大数据开发工程师,1.8-2.6万,深圳-宝安区,3-4年经验,本科,碧兴物联科技（深圳）股份有限公司,2022-11-06 20:50:44,https://jobs.51job.com/shenzhen-baq/139040348.html?s=sou_sou_soulb&t=0_0
141512749,大数据开发实习生,5-7千·13薪,重庆-渝中区,1年经验,大专,贵州玉珏网络技术服务有限责任公司,2022-11-06 21:39:00,https://jobs.51job.com/chongqing-yzq/141512749.html?s=sou_sou_soulb&t=0_0
143759774,数控编程大数据分析师（可培养）,9千-1.5万,日照,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/rizhao/143759774.html?s=sou_sou_soulb&t=0_0
137244365,大数据与会计教师,7-10万/年,德阳,2年经验,本科,德阳农业科技职业学院,2022-11-06 17:28:37,https://jobs.51job.com/deyang/137244365.html?s=sou_sou_soulb&t=0_0
128334936,大数据教师,5-8千,西安-长安区,3-4年经验,硕士,西安科技大学高新学院,2022-11-06 17:00:01,https://jobs.51job.com/xian-caq/128334936.html?s=sou_sou_soulb&t=0_0
141101480,大数据运维开发工程师（Kafka集群）_CI,3-5万,上海,,无需经验,博世（中国）投资有限公司,2022-11-06 16:00:07,http://boschchina.51job.com/jobdetail.html?jobid=141101480
143739955,数控编程大数据分析师（可培养）,9千-1.5万,廊坊,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/langfang/143739955.html?s=sou_sou_soulb&t=0_0
140349388,医疗大数据销售总监,1.5-2.5万,杭州,8-9年经验,大专,杭州医康慧联科技股份有限公司,2022-11-06 17:00:36,https://jobs.51job.com/hangzhou/140349388.html?s=sou_sou_soulb&t=0_0
138655213,大数据分析工程师_BCSC,1.5-2万,无锡,3-4年经验,本科,博世创新软件开发（无锡）有限公司,2022-11-06 16:00:12,http://boschchina.51job.com/jobdetail.html?jobid=138655213
143208116,大数据财务管理专业教师,4-6千,成都-新津县,无需经验,硕士,成都艺术职业大学,2022-11-06 14:30:39,https://jobs.51job.com/chengdu-xjx/143208116.html?s=sou_sou_soulb&t=0_0
143737915,电气工程大数据分析师,8千-1.2万,朔州,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/shuozhou/143737915.html?s=sou_sou_soulb&t=0_0
140349389,医疗大数据销售总监,1.5-2.5万,杭州,5-7年经验,大专,杭州医康慧联科技股份有限公司,2022-11-06 17:00:36,https://jobs.51job.com/hangzhou/140349389.html?s=sou_sou_soulb&t=0_0
141127825,大数据开发带薪实习,7-9千,青岛-市北区,无需经验,高中,青岛资博互动信息技术有限公司,2022-11-06 15:25:36,https://jobs.51job.com/qingdao-sbq/141127825.html?s=sou_sou_soulb&t=0_0
134552050,软件工程师（云计算、大数据）,15-25万/年,无锡-滨湖区,3-4年经验,本科,无锡先进技术研究院,2022-11-06 18:39:18,http://companyads.51job.com/companyads/2022/wx/wxxj/about31.html?jobid=134552050
143739250,大数据分析师管培生,8千-1.2万,大连,1年经验,大专,北京智动数联科技有限公司,2022-11-06 04:00:56,https://jobs.51job.com/dalian/143739250.html?s=sou_sou_soulb&t=0_0
140973651,大数据信息录入员/7K起,6-9千·13薪,深圳-龙华区,1年经验,本科,深圳市鸢逸科技有限公司,2022-11-06 15:16:20,https://jobs.51job.com/shenzhen-lhq/140973651.html?s=sou_sou_soulb&t=0_0
